tipo;metrica_train;dataset;parametro;hora_inicio;hora_fim;hora_fim_p;TP;TN;FP;FN;normais;anomalas;metrica;valor
rdf;ROC;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:56:44;Thu, 12 Aug 2021 10:59:00;Thu, 12 Aug 2021 10:59:01;10228;2378;601;1601;11829;2979;Acurácia;0.8512965964343598
rdf;ROC;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:56:44;Thu, 12 Aug 2021 10:59:00;Thu, 12 Aug 2021 10:59:01;10228;2378;601;1601;11829;2979;Precisão;0.9445008772739866
rdf;ROC;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:56:44;Thu, 12 Aug 2021 10:59:00;Thu, 12 Aug 2021 10:59:01;10228;2378;601;1601;11829;2979;Recall;0.8646546622706907
rdf;ROC;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:56:44;Thu, 12 Aug 2021 10:59:00;Thu, 12 Aug 2021 10:59:01;10228;2378;601;1601;11829;2979;F1;0.9028157825050755
rdf;ROC;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:56:44;Thu, 12 Aug 2021 10:59:00;Thu, 12 Aug 2021 10:59:01;10228;2378;601;1601;11829;2979;MCC;0.5994902282546474
rdf;ROC;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:56:44;Thu, 12 Aug 2021 10:59:00;Thu, 12 Aug 2021 10:59:01;10228;2378;601;1601;11829;2979;ROC;0.8314545550359831
xgb;Acurácia;SS;{'n_estimators': 99, 'min_child_weight': 3, 'max_depth': 20, 'learning_rate': 0.1, 'gamma': 5};Thu, 12 Aug 2021 10:59:01;Thu, 12 Aug 2021 10:59:34;Thu, 12 Aug 2021 10:59:34;11524;1881;1098;305;11829;2979;Acurácia;0.9052539168017288
xgb;Acurácia;SS;{'n_estimators': 99, 'min_child_weight': 3, 'max_depth': 20, 'learning_rate': 0.1, 'gamma': 5};Thu, 12 Aug 2021 10:59:01;Thu, 12 Aug 2021 10:59:34;Thu, 12 Aug 2021 10:59:34;11524;1881;1098;305;11829;2979;Precisão;0.9130090318491523
xgb;Acurácia;SS;{'n_estimators': 99, 'min_child_weight': 3, 'max_depth': 20, 'learning_rate': 0.1, 'gamma': 5};Thu, 12 Aug 2021 10:59:01;Thu, 12 Aug 2021 10:59:34;Thu, 12 Aug 2021 10:59:34;11524;1881;1098;305;11829;2979;Recall;0.9742159100515682
xgb;Acurácia;SS;{'n_estimators': 99, 'min_child_weight': 3, 'max_depth': 20, 'learning_rate': 0.1, 'gamma': 5};Thu, 12 Aug 2021 10:59:01;Thu, 12 Aug 2021 10:59:34;Thu, 12 Aug 2021 10:59:34;11524;1881;1098;305;11829;2979;F1;0.942619933745041
