nr_municipio;nb_municipio;latitude_municipio;longitude_municipio;cd_municipio_ibge;ae_municipio
926.0;São Vicente Ferrer - MA;-2.894;-44.88;2111706;390.845
948.0;Viana - MA;-3.22;-45.004;2112803;1168.443
950.0;Vitória do Mearim - MA;-3.462;-44.871;2112902;716.719
122.0;Bela Vista do Maranhão - MA;-3.731;-45.315;2101772;255.551
212.0;Porto Rico do Maranhão - MA;-1.893;-44.605;2109056;218.831
144.0;Central do Maranhão - MA;-2.199;-44.826;2103125;319.336
112.0;Apicum-Açu - MA;-1.461;-45.103;2100832;353.166
208.0;Pedro do Rosário - MA;-2.973;-45.349;2108256;1749.885
254.0;Serrano do Maranhão - MA;-1.8559999999999999;-45.123;2111789;1207.06
118.0;Bacurituba - MA;-2.706;-44.738;2101350;674.512
204.0;Olinda Nova do Maranhão - MA;-2.998;-44.997;2107456;197.636
170.0;Igarapé do Meio - MA;-3.661;-45.227;2105153;368.685
848.0;Paço do Lumiar - MA;-2.532;-44.108;2107506;122.828
890.0;Rosário - MA;-2.934;-44.235;2109601;685.036
888.0;São José de Ribamar - MA;-2.5620000000000003;-44.054;2111201;388.371
920.0;São Luís - MA;-2.5300000000000002;-44.303;2111300;834.785
116.0;Bacabeira - MA;-2.971;-44.316;2101251;615.589
720.0;Axixá - MA;-2.8369999999999997;-44.053;2101103;203.153
732.0;Barreirinhas - MA;-2.747;-42.826;2101707;3111.991
796.0;Humberto de Campos - MA;-2.598;-43.461;2105005;2131.247
798.0;Icatu - MA;-2.776;-44.066;2105104;1448.779
840.0;Morros - MA;-2.864;-44.039;2107100;1715.175
880.0;Presidente Juscelino - MA;-2.928;-44.065;2109205;354.696
884.0;Primeira Cruz - MA;-2.51;-43.438;2109403;1367.676
226.0;Santo Amaro do Maranhão - MA;-2.5;-43.254;2110278;1601.18
138.0;Cachoeira Grande - MA;-2.927;-44.058;2102374;705.645
714.0;Anapurus - MA;-3.672;-43.116;2100808;608.296
716.0;Araioses - MA;-2.89;-41.903;2100907;1782.6
738.0;Brejo - MA;-3.684;-42.75;2102101;1074.628
740.0;Buriti - MA;-3.942;-42.925;2102200;1473.96
764.0;Coelho Neto - MA;-4.257;-43.013;2103406;975.549
774.0;Duque Bacelar - MA;-4.156;-42.944;2103901;317.92
